system:index,Name,OBJECTID,blue,green,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,.geo
1_1_LT05_119038_19921114_00003df56065d95e53df_0,Changshu1,1,785,1035,31.67444365,120.7658911,0.32658958,0.18911918,1377,66,939,1062,699,
1_1_LT05_119038_19921130_00003df56065d95e53df_0,Changshu1,1,815,1075,31.67444365,120.7658911,0.16804408,0.28010735,1908,66,1073,1627,1359,
1_1_LT05_119038_19930202_00003df56065d95e53df_0,Changshu1,1,627,896,31.67444365,120.7658911,0.39468896,0.37173524,1917,66,878,1321,832,
1_1_LT05_119038_19930525_00003df56065d95e53df_0,Changshu1,1,979,1285,31.67444365,120.7658911,0.31660116,0.27870777,2177,66,1228,1540,1130,
1_1_LT05_119038_19930610_00003df56065d95e53df_0,Changshu1,1,1245,1370,31.67444365,120.7658911,0.3159669,0.22371046,2147,66,1362,1506,1116,
1_1_LT05_119038_19930626_00003df56065d95e53df_0,Changshu1,1,598,860,31.67444365,120.7658911,0.42930216,0.40719426,1956,66,824,1325,781,
1_1_LT05_119038_19930712_00003df56065d95e53df_0,Changshu1,1,305,576,31.67444365,120.7658911,0.49593496,0.55776894,1564,66,444,896,527,
1_1_LT05_119038_19930930_00003df56065d95e53df_0,Changshu1,1,522,814,31.67444365,120.7658911,0.56556374,0.5424087,2555,66,758,1405,709,
1_1_LT05_119038_19931101_00003df56065d95e53df_0,Changshu1,1,713,981,31.67444365,120.7658911,0.31861913,0.40785497,2330,66,980,1928,1204,
1_1_LT05_119038_19931219_00003df56065d95e53df_0,Changshu1,1,870,1075,31.67444365,120.7658911,0.19457735,0.16034082,1498,66,1084,1420,1010,
1_1_LT05_119038_19940325_00003df56065d95e53df_0,Changshu1,1,839,1028,31.67444365,120.7658911,0.2732224,0.3117207,2104,66,1104,1586,1201,
1_1_LT05_119038_19940512_00003df56065d95e53df_0,Changshu1,1,979,1231,31.67444365,120.7658911,0.42407808,0.37775445,2626,66,1186,1645,1062,
